modelo,config,query_id,P@10,R@10,AP,NDCG@10
vetorial,nada,88,0.6,1.0,0.8134920634920634,0.8471427907752341
vetorial,nada,89,0.1,0.16666666666666666,0.16803652673217886,0.21226838189890232
vetorial,nada,90,0.3,0.23076923076923078,0.21156712863936636,0.18174089820730674
vetorial,nada,91,0.1,0.1111111111111111,0.14219145075737513,0.12628367617227435
vetorial,nada,92,0.6,0.46153846153846156,0.49380331338620836,0.3636871639023556
vetorial,nada,93,0.1,1.0,0.5,0.6309297535714575
vetorial,nada,94,0.5,0.4166666666666667,0.5281945613226401,0.52481997523692
vetorial,nada,95,0.0,0.0,0.11688311688311688,0.0
vetorial,nada,96,0.5,0.38461538461538464,0.3302202710802462,0.3269802822980401
vetorial,nada,97,0.2,0.2,0.14776812588557695,0.287990002102775
vetorial,nada,98,0.0,0.0,0.008676023501090608,0.0
vetorial,nada,99,0.2,0.5,0.16640293529404965,0.3112253005695224
vetorial,nada,100,0.2,0.2222222222222222,0.14594625891329469,0.20703761675177507
vetorial,nada,101,0.5,0.8333333333333334,0.504070004070004,0.624814703026224
vetorial,nada,102,0.2,0.5,0.3601814516129032,0.44539833841715704
vetorial,nada,103,0.0,0.0,0.042795334838224224,0.0
vetorial,nada,104,0.2,0.4,0.21004725289793164,0.27727342735504823
vetorial,nada,105,0.2,0.4,0.37673281726483693,0.6331583852663827
vetorial,nada,106,0.1,0.2,0.11930735930735932,0.1096601452306679
vetorial,nada,107,0.2,0.2857142857142857,0.3499723888266785,0.36942418371686553
vetorial,nada,108,0.6,0.8571428571428571,0.8843537414965985,0.8099793213882299
vetorial,nada,109,0.0,0.0,0.021365831644126795,0.0
vetorial,nada,110,0.0,0.0,0.015527408360741693,0.0
vetorial,nada,111,0.3,0.42857142857142855,0.26973162605185075,0.30042210429207
vetorial,nada,112,0.1,0.5,0.1923076923076923,0.19004688335796713
vetorial,nada,113,0.2,0.5,0.4315905448717948,0.5855700749881525
vetorial,nada,114,0.0,0.0,0.05585267005721552,0.0
vetorial,nada,115,0.0,0.0,0.019231929506247147,0.0
vetorial,nada,116,0.1,0.2,0.054932760783081104,0.09486127395381615
vetorial,nada,117,0.0,0.0,0.024462365591397847,0.0
vetorial,nada,118,0.1,0.3333333333333333,0.13006993006993006,0.10987173866025332
vetorial,nada,119,0.1,1.0,0.25,0.43067655807339306
vetorial,nada,120,0.4,0.4444444444444444,0.3893729286586429,0.4813822352666704
vetorial,nada,121,0.4,0.5714285714285714,0.5001242236024844,0.5411862568296919
vetorial,nada,122,0.2,0.2222222222222222,0.1611267208850894,0.1444147858240329
vetorial,nada,123,0.0,0.0,0.035873015873015876,0.0
vetorial,nada,124,0.0,0.0,0.00352327788219107,0.0
vetorial,nada,125,0.2,0.11764705882352941,0.14580886623509065,0.16653358750703343
vetorial,nada,126,0.2,0.25,0.22497509202582006,0.4718040076989788
vetorial,nada,127,0.1,0.2,0.06277865089620756,0.1283624763817471
vetorial,nada,128,0.0,0.0,0.012895434003428394,0.0
vetorial,nada,129,0.4,0.5714285714285714,0.4585973779131298,0.5498798600548418
vetorial,nada,130,0.3,0.6,0.4121749408983451,0.5458152428905724
vetorial,nada,131,0.1,0.125,0.24723519127930893,0.140096995093594
vetorial,nada,132,0.7,0.4666666666666667,0.6596986744179727,0.6431909031896195
vetorial,nada,133,0.1,0.14285714285714285,0.21151234996236495,0.12905153795943472
